[12948:6652:0830/082230.643:WARNING:chrome_main_delegate.cc(596)] This is Chrome version 116.1.57.53 (not a warning)
[12948:6652:0830/082230.648:WARNING:chrome_browser_cloud_management_controller.cc(88)] Could not create policy manager as CBCM is not enabled.
[12948:6652:0830/082230.697:ERROR:chrome_browser_cloud_management_controller.cc(163)] Cloud management controller initialization aborted as CBCM is not enabled.
[12948:6652:0830/082230.742:WARNING:external_provider_impl.cc(513)] Malformed extension dictionary for extension: odbfpeeihdkbihmopkbjmoonfanlbfcl.  Key external_update_url has value "", which is not a valid URL.
[12948:6652:0830/082231.309:WARNING:CONSOLE(5)] "crbug/1173575, non-JS module files deprecated.", source: chrome://resources/js/load_time_data_deprecated.js (5)
[12948:6652:0830/082231.466:ERROR:brave_new_tab_page_handler.cc(455)] image data is not valid
[12948:6652:0830/082233.496:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[12948:6652:0830/082233.496:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'serial'.", source:  (0)
[12948:6652:0830/082234.167:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[12948:6652:0830/082234.167:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'serial'.", source:  (0)
[12948:6652:0830/082238.137:INFO:CONSOLE(1)] "Request for the Private Access Token challenge.", source: https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_api/v1?ray=7fe9393eadd4096c (1)
[12948:6652:0830/082238.137:INFO:CONSOLE(1)] "The next request for the Private Access Token challenge may return a 401 and show a warning in console.", source: https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_api/v1?ray=7fe9393eadd4096c (1)
[12948:6652:0830/082238.220:INFO:CONSOLE(1)] "console.groupEnd", source: https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_api/v1?ray=7fe9393eadd4096c (1)
[12948:6652:0830/082238.328:INFO:CONSOLE(1)] "gJWI", source: https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_api/v1?ray=7fe9393eadd4096c (1)
